title,originalTitle,imdbID,runtime,originalLanguage,originCountry,plot,releaseDate,homepage,budget,revenue,tmdbRating,tmdbVotes,popularity,director,actors,awards,imdbVotes,imdbRating,metacriticRating,rottenTomatoesRating,mpaFilmRating,genre
Mufasa: The Lion King,Mufasa: The Lion King,tt13186482,118,en,['US'],"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2024-12-18,https://movies.disney.com/mufasa-the-lion-king,200000000.0,717197856.0,7.449,1799,238.3487,Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone",15 nominations total,44872.0,6.6,5.6,5.7,PG,"['Animation', 'Adventure', 'Drama']"
Moana 2,Moana 2,tt13622970,99,en,['US'],"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2024-11-21,https://movies.disney.com/moana-2,150000000.0,1056396565.0,7.1,2097,220.0556,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Auli'i Cravalho, Dwayne Johnson, Hualalai Chung",2 wins & 25 nominations total,88419.0,6.7,5.8,6.1,PG,"['Animation', 'Adventure', 'Comedy']"
Sonic the Hedgehog 3,Sonic the Hedgehog 3,tt18259086,110,en,['US'],"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",2024-12-19,https://www.sonicthehedgehogmovie.com,122000000.0,486018457.0,7.8,2298,150.0364,Jeff Fowler,"Jim Carrey, Ben Schwartz, Keanu Reeves",1 nomination total,52320.0,6.9,5.6,8.5,PG,"['Action', 'Adventure', 'Comedy']"
Old Guy,Old Guy,tt26442053,93,en,['US'],"Stuck at a dead end but vying for the love of spunky club manager Anata, aging contract killer Danny Dolinski is thrilled when The Company pulls him back in the field, but only to train Gen Z newcomer Wihlborg, a prodigy assassin with an attitude.",2024-12-13,https://theavenue.film/movies/old-guy,,,5.516,61,128.2014,Simon West,"Christoph Waltz, Lucy Liu, Cooper Hoffman",,1748.0,5.1,3.3,2.9,R,"['Action', 'Comedy']"
Hellhound,Hellhound,tt22489042,103,en,['TH'],"Ready to leave his profession behind, Loreno, an assassin, lends help to an old friend, Cetan, and taking one last job in Thailand seeking out a local kingpin. A lapse in judgment means Loreno crosses paths with old colleague Paul.",2024-06-20,https://hellhoundthemovie.com/,1100000.0,,6.468,31,117.1079,Joshua Dixon,"Sahajak Boonthanakit, Ross James Cain, Tanapol Chuksrida",,446.0,4.3,,,R,"['Action', 'Crime', 'Thriller']"
"I, the Executioner",베테랑 2,tt30287778,118,ko,['KR'],"The veteran detective Seo Do-cheol and his team at Major Crimes, relentless in their pursuit of criminals, join forces with rookie cop Park Sun-woo to track down a serial killer who has plunged the nation into turmoil.",2024-09-13,,,53453611.0,7.0,45,92.6976,Ryoo Seung-wan,"Ahn Bo-hyun, Oh Dae-hwan, Oh Dal-su",4 nominations total,1183.0,6.4,,10.0,,"['Action', 'Adventure', 'Comedy']"
Kraven the Hunter,Kraven the Hunter,tt8790086,127,en,['US'],"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",2024-12-11,https://www.kravenmovie.com,120000000.0,59184643.0,6.625,1499,96.1271,J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger",5 nominations total,44505.0,5.4,3.5,1.5,R,"['Action', 'Thriller']"
Amaran,அமரன்,tt27118357,169,ta,['IN'],"A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.",2024-10-31,,21000000.0,,7.4,197,97.6612,Rajkumar Periasamy,"Sivakarthikeyan, Sai Pallavi, Bhuvan Arora",,17389.0,8.2,,,,"['Action', 'Biography', 'Drama']"
Venom: The Last Dance,Venom: The Last Dance,tt16366836,109,en,['US'],"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2024-10-22,https://venom.movie,120000000.0,478103649.0,6.8,3108,84.6773,Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple",5 nominations total,101954.0,6.0,4.1,4.0,PG-13,"['Action', 'Adventure', 'Sci-Fi']"
Flow,Straume,tt4772188,85,lv,['LV'],"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",2024-08-29,https://flowthemovie.com/,3700000.0,17660107.0,8.3,1692,82.3994,Gints Zilbalodis,,Won 1 Oscar. 54 wins & 70 nominations total,47334.0,7.9,8.7,9.7,PG,"['Animation', 'Adventure', 'Family']"
